# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Fri Jul 15 04:08:43 CEST 2016
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: you choose not to include the TP-AGB phase!
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00015	Y = 0.24900	[M/H] = -2.015	eta_R = 0.200	Age = 	1.0000e+09 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	0.000150	9.0000	0.98704010	0.9869	0.2789	3.8583	4.5387	4.073	4.271	4.465	4.185	3.985	3.787	3.570	3.391	3.384	3.13720322	1
	0.000150	9.0000	1.00000000	0.9999	0.3068	3.8626	4.5336	4.003	4.200	4.382	4.112	3.920	3.730	3.521	3.352	3.346	3.14080405	1
	0.000150	9.0000	1.03434741	1.0342	0.3786	3.8756	4.5285	3.823	4.019	4.165	3.921	3.753	3.587	3.408	3.266	3.261	3.14988351	1
	0.000150	9.0000	1.04999995	1.0499	0.4109	3.8816	4.5264	3.743	3.938	4.068	3.835	3.679	3.524	3.359	3.229	3.223	3.15380883	1
	0.000150	9.0000	1.07433558	1.0742	0.4593	3.8917	4.5287	3.622	3.818	3.920	3.707	3.571	3.435	3.292	3.182	3.177	3.15966654	1
	0.000150	9.0000	1.10000002	1.0998	0.5096	3.9023	4.5310	3.496	3.693	3.768	3.576	3.460	3.344	3.223	3.133	3.129	3.16554141	1
	0.000150	9.0000	1.11960006	1.1194	0.5470	3.9103	4.5332	3.402	3.601	3.657	3.480	3.379	3.279	3.174	3.099	3.094	3.16983271	1
	0.000150	9.0000	1.14999998	1.1498	0.6041	3.9224	4.5363	3.260	3.463	3.492	3.341	3.263	3.184	3.103	3.047	3.042	3.17617631	1
	0.000150	9.0000	1.15444386	1.1543	0.6122	3.9241	4.5366	3.239	3.443	3.469	3.322	3.247	3.170	3.093	3.039	3.034	3.17707348	1
	0.000150	9.0000	1.20000005	1.1998	0.6950	3.9413	4.5392	3.032	3.248	3.250	3.141	3.094	3.043	2.994	2.962	2.957	3.18585706	1
	0.000150	9.0000	1.22677362	1.2266	0.7426	3.9510	4.5402	2.914	3.137	3.135	3.045	3.012	2.975	2.940	2.917	2.913	3.19069147	1
	0.000150	9.0000	1.25000000	1.2498	0.7836	3.9593	4.5405	2.811	3.041	3.041	2.967	2.943	2.915	2.892	2.877	2.874	3.19470429	1
	0.000150	9.0000	1.29999995	1.2998	0.8706	3.9766	4.5398	2.593	2.834	2.853	2.808	2.801	2.792	2.792	2.789	2.789	3.20280719	1
	0.000150	9.0000	1.31351006	1.3133	0.8943	3.9812	4.5390	2.534	2.778	2.804	2.766	2.763	2.758	2.764	2.764	2.765	3.20487690	1
